SYMBOL | TIMEFRAME | STATUS
[2025-12-27 15:26:12] ELGIRUBCO | 1mo | FROM 2025-12-02
[2025-12-27 15:26:12] ELGIRUBCO | 1mo | NO NEW DATA
[2025-12-27 15:26:12] GICHSGFIN | 1mo | FROM 2025-12-02
[2025-12-27 15:26:13] GICHSGFIN | 1mo | NO NEW DATA
[2025-12-27 15:26:13] GUJALKALI | 1mo | FROM 2025-12-02
[2025-12-27 15:26:13] GUJALKALI | 1mo | NO NEW DATA
[2025-12-27 15:26:13] JCHAC | 1mo | FROM 2025-12-02
[2025-12-27 15:26:13] JCHAC | 1mo | NO NEW DATA
[2025-12-27 15:26:13] KMSUGAR | 1mo | FROM 2025-12-02
[2025-12-27 15:26:13] KMSUGAR | 1mo | NO NEW DATA
[2025-12-27 15:26:13] LGBBROSLTD | 1mo | FROM 2025-12-02
[2025-12-27 15:26:14] LGBBROSLTD | 1mo | NO NEW DATA
[2025-12-27 15:26:14] NIITLTD | 1mo | FROM 2025-12-02
[2025-12-27 15:26:14] NIITLTD | 1mo | NO NEW DATA
[2025-12-27 15:26:14] NILKAMAL | 1mo | FROM 2025-12-02
[2025-12-27 15:26:14] NILKAMAL | 1mo | NO NEW DATA
[2025-12-27 15:26:14] SREEL | 1mo | FROM 2025-12-02
[2025-12-27 15:26:14] SREEL | 1mo | NO NEW DATA
[2025-12-27 15:26:14] UMESLTD | 1mo | FROM 2025-12-02
[2025-12-27 15:26:14] UMESLTD | 1mo | NO NEW DATA
[2025-12-27 15:26:14] USHAMART | 1mo | FROM 2025-12-02
[2025-12-27 15:26:15] USHAMART | 1mo | NO NEW DATA
[2025-12-27 15:26:15] VINYLINDIA | 1mo | FROM 2025-12-02
[2025-12-27 15:26:15] VINYLINDIA | 1mo | NO NEW DATA
[2025-12-27 15:26:15] ✅ PRICE DATA UPDATE COMPLETED
